County,State,Population,FIPS,SimilarToAdams,StayAtHomeStart,StayAtHomeStartRef,EmergencyDeclerationStart,EmergencyDeclerationStartRef,StayAtHomeEnd,StayAtHomeEndRef,EmergencyDeclerationEnd,EmergencyDeclerationEndRef,MobilityRetailDiffer,MobilityWorkDiffer,MobilityHomeDiffer
Ashtabula,Ohio,97241,39007,0,3/23/2020,JHU,,,5/29/20,Keystone,,,1,0,0
Burleigh,NorthDakota,95626,38015,0,,JHU,,,,,,,0,0,1
Cape May,NewJersey,92039,34009,0,3/21/2020,JHU,,,6/15/20,Keystone,,,1,1,0
Columbiana,Ohio,101883,39029,0,3/23/2020,JHU,,,5/29/20,Keystone,,,1,0,0
Dallas,Iowa,93453,19049,0,,JHU,,,,,,,0,0,0
Dubuque,Iowa,97311,19061,0,,JHU,,,,,,,0,0,0
Fairbanks North Star,Alaska,96849,2090,0,3/28/2020,JHU,,,4/24/20,Keystone,,,0,0,1
Garland,Arkansas,99386,5051,0,,JHU ,,,,,,,0,0,0
Matanuska-Susitna,Alaska,108317,2170,0,3/28/2020,JHU,,,4/24/20,Keystone,,,1,0,0
Pottawattamie,Iowa,93206,19155,0,,JHU,,,,,,,0,0,0
Rogers,Oklahoma,92459,40131,0,,JHU,,,,,,,0,0,0
Sevier,Tennessee,98250,47155,0,3/31/2020,JHU,3/26/2020,NACo,,,,,1,0,0
Woodbury,Iowa,103107,19193,0,,JHU,3/17/2020,https://www.iowaeconomicdevelopment.com/UserDocs/news/Public_Health_Proclamation_-_2020.03.17.pdf,,,,,0,0,0
Story,Iowa,97117,19169,0,4/2/20,JHU,,,,,,,0,0,0
Adams,Pennsylvania,103009,42001,1,4/1/2020,JHU,3/16/2020,,,,,,0,0,0
Albemarle,Virginia,109330,51003,1,3/30/2020,JHU,3/12/2020,NACo,,,,,0,0,0
Allen,Ohio,102351,39003,1,3/23/2020,JHU,,,,,,,0,0,0
Androscoggin,Maine,108277,23001,1,4/2/2020,JHU,,,6/1/20,Keystone,,,0,0,0
Bartow,Georgia,107738,13015,1,4/3/2020,JHU,3/20/2020,NACo,,,,,0,0,0
Bay,Michigan,103126,26017,1,3/24/2020,JHU,3/17/2020,NACo,6/1/20,Keystone,,,0,0,0
Benton,Oregon,93053,41003,1,3/23/2020,JHU,3/17/2020,NACo,,,,,0,0,0
Bowie,Texas,93245,48037,1,4/2/2020,JHU,3/18/2020,NACo,,,,,0,0,0
Bradley,Tennessee,108110,47011,1,3/31/2020,JHU,3/20/2020,NACo,,,,,0,0,0
